,city,lat,lon,country,date,maxtemp,humidity,clouds,wind
348,Naze,5.43,7.07,NG,1556910000,84.2,79,40,4.7
349,Kuybyshevskiy Zaton,55.16,49.17,RU,1556911800,51.8,93,75,8.95
350,Tonantins,-2.86,-67.77,BR,1556913537,81.41,91,69,1.43
351,Wukari,7.87,9.78,NG,1556913538,90.05,49,81,5.48
352,Minas,-34.38,-55.24,UY,1556910000,69.8,56,40,3.36
353,Praia,-20.25,-43.81,BR,1556910000,80.6,61,90,4.7
354,Khawhai,23.52,93.19,IN,1556913539,65.75,99,89,2.3
355,Dzerzhinsk,56.24,43.46,RU,1556911800,50.0,87,0,6.71
356,Gillette,44.29,-105.5,US,1556912858,53.01,43,75,6.93
357,Itambe,-15.24,-40.62,BR,1556910000,73.4,78,75,12.75
358,Jiwani,25.05,61.74,PK,1556913540,83.03,64,0,7.81
359,Lavrentiya,65.58,-170.99,RU,1556912979,27.05,96,100,7.76
360,Severo-Kurilsk,50.68,156.12,RU,1556912983,37.13,78,73,17.18
361,Watrous,51.67,-105.46,CA,1556913541,50.27,45,66,16.22
362,Marzuq,14.4,46.47,YE,1556913051,78.17,24,0,6.6
363,Jiujiang,29.73,115.99,CN,1556913541,63.41,64,0,4.7
364,Am Timan,11.04,20.28,TD,1556913542,96.35,25,9,4.29
365,Williams Lake,52.13,-122.14,CA,1556910000,50.0,46,75,5.82
366,Linqu,36.52,118.54,CN,1556913085,70.0,30,100,8.01
367,Coquimbo,-29.95,-71.34,CL,1556912817,75.0,82,75,12.75
368,Port Shepstone,-30.74,30.45,ZA,1556913543,65.75,97,100,4.29
369,Port Blair,11.67,92.75,IN,1556912990,85.19,78,100,14.45
370,Rio Cauto,20.56,-76.92,CU,1556909400,91.4,49,40,6.93
371,Tual,-5.67,132.75,ID,1556913544,82.67,77,100,10.96
